ppa_work_id,ppa_source_id,ppa_cluster_id,ppa_work_title,ppa_work_author,ppa_work_year,ppa_source,ppa_collections,recordid,oclc,locnum,author,imprint,datetype,startdate,enddate,imprintdate,place,enumcron,subjects,title
loc.ark:/13960/t11n8m68z,loc.ark:/13960/t11n8m68z,loc.ark:/13960/t11n8m68z,The early romantic drama at the English court ...,"Ellison, Lee Monroe",1917,HathiTrust,['Literary'],322775,4244859,PR635.C7E5,"Ellison, Lee Monroe.",Chicago;1917.,s,1917,    ,1917,ilu,,"English drama;Early modern and Elizabethan, 1500-1600;Court and courtiers;History and criticism;Great Britain",The early romantic drama at the English court
loc.ark:/13960/t17m13p6x,loc.ark:/13960/t17m13p6x,loc.ark:/13960/t17m13p6x,"The teaching of spelling,","Tidyman, Willard Fred, 1888-",1919,HathiTrust,['Linguistic'],1883653,2159077,,"Tidyman, Willard Fred,","Yonkers-on-Hudson, N. Y.;World book company;1922.",s,1922,    ,1922,nyu,,Orthography and spelling;English language,The teaching of spelling
loc.ark:/13960/t17m15p2t,loc.ark:/13960/t17m15p2t,loc.ark:/13960/t17m15p2t,Syllabification and accent in the Paradise lost.,"Brown, George Dobbin, 1874-1958",1901,HathiTrust,"['Literary', 'Original Bibliography']",915535,8399638,,"Brown, George Dobbin,",Baltimore;J. Murphy Co.;1901.,s,1901,    ,1901,mdu,,"1608-1674;Paradise lost;Milton, John;Versification",Syllabification and accent in the Paradise lost
loc.ark:/13960/t1mg8fh13,loc.ark:/13960/t1mg8fh13,loc.ark:/13960/t1mg8fh13,"Teachers' outlines for studies in English,","Blakely, Gilbert Sykes",1908,HathiTrust,['Linguistic'],7696600,3600690,LB1631.B6,"Blakely, Gilbert Sykes.",New York;Cincinnati [etc.;American book company;c1908,s,1908,    ,1908,xx ,,English language;Study and teaching,Teachers' outlines for studies in English
loc.ark:/13960/t1ng57d1f,loc.ark:/13960/t1ng57d1f,loc.ark:/13960/t1ng57d1f,"The glory of English prose,","Coleridge, Stephen, 1854-1936",1922,HathiTrust,['Literary'],160716,692897,PR751.C6 1922a,"Coleridge, Stephen,",New York;London;G.P. Putnam's sons;1922.,s,1922,    ,1922,nyu,,English prose literature;Style;History and criticism;English language,The glory of English prose
loc.ark:/13960/t1pg2bn5x,loc.ark:/13960/t1pg2bn5x,loc.ark:/13960/t1pg2bn5x,"Wieland's translation of Shakespeare,","Meisnest, Frederick William",1914,HathiTrust,['Literary'],9567056,,PR2780.W5,"Meisnest, Frederick William. [from old catalog]",Cambridge;University press;1914,s,1914,    ,1914,mau,,"Language and languages;English language;Translating into German;History and criticism;Translating and interpreting;1564-1616;1733-1813;Wieland, Christoph Martin;Translations into German;Germany;Knowledge;Shakespeare, William",Wieland's translation of Shakespeare
loc.ark:/13960/t1qf96q9q,loc.ark:/13960/t1qf96q9q,loc.ark:/13960/t1qf96q9q,"A simplified course of study in grammar,","Burk, Frederic Lister, 1862-",1912,HathiTrust,['Linguistic'],9579014,,LB1576.B892,"Burk, Frederic Lister,","Sacramento;F. W. Richardson, superintendent state printing;1912.",s,1912,    ,1912,cau,,Grammar;English language,A simplified course of study in grammar
loc.ark:/13960/t1rf6ns76,loc.ark:/13960/t1rf6ns76,loc.ark:/13960/t1rf6ns76,"A syllabus in spelling and pronunciation,","Broome, Edwin Cornelius, 1874-",1912,HathiTrust,"['Linguistic', 'Word Lists']",11213151,,LB1574.B7,"Broome, Edwin Cornelius,","Boston;New York, [etc.;Thompson Brown company;c1912",s,1912,    ,1912,mau,,Pronunciation;Orthography and spelling;English language;Study and teaching,A syllabus in spelling and pronunciation
loc.ark:/13960/t24b3q00v,loc.ark:/13960/t24b3q00v,loc.ark:/13960/t24b3q00v,Course of study in phonics ...,"Johnstone, Corinne H.",1912,HathiTrust,"['Linguistic', 'Typographically Unique']",9596105,,LB1525.J7,"Johnstone, Corinne H. [from old catalog]","Sacramento;F. W. Richardson, superintendent of state printing;1912.",s,1912,    ,1912,cau,,Phonetics;Study and teaching. [from old catalog],Course of study in phonics
loc.ark:/13960/t2794rx86,loc.ark:/13960/t2794rx86,wilkinsonnew,New voices;,"Wilkinson, Marguerite Ogden Bigelow, 1883-1928",1921,HathiTrust,['Literary'],6516644,1433480,PR601.W5 1921,"Wilkinson, Marguerite Ogden Bigelow,",New York;The Macmillan Company;1921,s,1921,    ,1921,nyu,,English poetry;American poetry;History and criticism;20th century,New voices;
loc.ark:/13960/t2b85qp2q,loc.ark:/13960/t2b85qp2q,loc.ark:/13960/t2b85qp2q,"Manual to accompany lessons in language and grammar,","Tarbell, Horace S[umner] 1838-1904",1903,HathiTrust,['Linguistic'],9608157,,LB1576.T26,"Tarbell, Horace S[umner]",Boston;Ginn & company;1903.,s,1903,    ,1903,mau,,English language;Study and teaching. [from old catalog],Manual to accompany lessons in language and grammar
loc.ark:/13960/t2c82x642,loc.ark:/13960/t2c82x642,loc.ark:/13960/t2c82x642,"English problems in the solving,","Simons, Sarah E. (Sarah Emma), b. 1867",1920,HathiTrust,['Linguistic'],6510886,1709480,LB1631.S5,"Simons, Sarah Emma,","Chicago;Scott, Foresman;c1920",s,1920,    ,1920,ilu,,English language;Study and teaching,English problems in the solving
loc.ark:/13960/t2k65788x,loc.ark:/13960/t2k65788x,loc.ark:/13960/t2k65788x,Suggestions for teachers in evening elementary schools.,Detroit (Mich.). Board of Education,1920,HathiTrust,['Linguistic'],6583260,28562097,LC3733.D6A5 1920,,Detroit;1920.,s,1920,    ,1920,miu,,Textbooks for foreign speakers;English language;Study and teaching,Suggestions for teachers in evening elementary schools
loc.ark:/13960/t2m626f02,loc.ark:/13960/t2m626f02,utexasmemorial,"A memorial volume to Shakespeare and Harvey,",University of Texas,1917,HathiTrust,['Literary'],6609688,3356431,PR2890.T4,,"Austin, Tex.;The University;1917",s,1917,    ,1917,txu,,"1578-1657;Plautus, Titus Maccius;Anniversaries, etc., 1916;Truculentus;Criticism and interpretation;1564-1616;Harvey, William;Shakespeare, William",A memorial volume to Shakespeare and Harvey
loc.ark:/13960/t2q53df8c,loc.ark:/13960/t2q53df8c,loc.ark:/13960/t2q53df8c,Modern methods of teaching;,"Patzer, Conrad E.",1914,HathiTrust,['Linguistic'],9605672,,LB1528.P3,"Patzer, Conrad E. [from old catalog]",Chicago;H. M. Dixon & company;c1914,s,1914,    ,1914,ilu,,Orthography and spelling;Composition and exercises;Reading (Elementary);English language;Study and teaching. [from old catalog],Modern methods of teaching;
loc.ark:/13960/t2s47859d,loc.ark:/13960/t2s47859d,loc.ark:/13960/t2s47859d,"A child's garden of verses,","Stevenson, Robert Louis, 1850-1894",1910,HathiTrust,['Literary'],9592493,,PR5489.C5 1910,"Stevenson, Robert Louis,",New York;Boston [etc.;Educational publishing company;c1910,s,1910,    ,1910,nyu,,,A child's garden of verses
loc.ark:/13960/t2v41bn9v,loc.ark:/13960/t2v41bn9v,arnoldessays,"Essays in criticism,","Arnold, Matthew, 1822-1888",1900,HathiTrust,['Literary'],9586835,1850745,PR4022.E3 1902a,"Arnold, Matthew,",New York;A. L. Burt Co.;190-?,q,1900,1909,"<estimate=""[190-?]"">",nyu,,"1821-1881;Marcus Aurelius;Poetry;graf;1632-1677;Heine, Heinrich;121-180;1754-1824;1810-1839;Amiel, Henri Frédéric;English poetry;1828-1910;Spinoza, Benedictus de;Tolstoy, Leo;Journal intime;Guérin, Eugénie de;Guérin, Maurice de;Joubert, Joseph;1797-1856;Criticism;1805-1848;History and criticism;Emperor of Rome",Essays in criticism
