htid,filename,size_changed,modification_time,rsync_flags
hvd.32044097071633,32044097071633.zip,True,True,>f.st......
hvd.32044097075444,32044097075444.mets.xml,True,True,>f.st......
hvd.32044097075444,32044097075444.zip,True,True,>f.st......
hvd.32044097075485,32044097075485.mets.xml,True,True,>f.st......
hvd.32044097075485,32044097075485.zip,True,True,>f.st......
hvd.32044097075550,32044097075550.mets.xml,True,True,>f.st......
hvd.32044097075550,32044097075550.zip,True,True,>f.st......
hvd.32044097075592,32044097075592.mets.xml,True,True,>f.st......
hvd.32044097075592,32044097075592.zip,True,True,>f.st......
hvd.32044097075659,32044097075659.mets.xml,True,True,>f.st......
hvd.32044097075659,32044097075659.zip,True,True,>f.st......
hvd.32044097078869,32044097078869.mets.xml,True,True,>f.st......
hvd.32044097078869,32044097078869.zip,True,True,>f.st......
hvd.32044097078943,32044097078943.mets.xml,True,True,>f.st......
hvd.32044097078943,32044097078943.zip,True,True,>f.st......
hvd.32044097079123,32044097079123.mets.xml,True,True,>f.st......
hvd.32044097079123,32044097079123.zip,True,True,>f.st......
hvd.32044097079826,32044097079826.mets.xml,True,True,>f.st......
hvd.32044097079826,32044097079826.zip,True,True,>f.st......
hvd.32044097079883,32044097079883.mets.xml,True,True,>f.st......
hvd.32044097079883,32044097079883.zip,True,True,>f.st......
hvd.32044098627268,32044098627268.mets.xml,True,True,>f.st......
hvd.32044098627268,32044098627268.zip,True,True,>f.st......
hvd.32044098627433,32044098627433.mets.xml,True,True,>f.st......
hvd.32044098627433,32044098627433.zip,True,True,>f.st......
hvd.32044098627870,32044098627870.mets.xml,True,True,>f.st......
hvd.32044098627870,32044098627870.zip,True,True,>f.st......
hvd.32044098628175,32044098628175.mets.xml,True,True,>f.st......
hvd.32044098628175,32044098628175.zip,True,True,>f.st......
hvd.32044098628217,32044098628217.mets.xml,True,True,>f.st......
hvd.32044098628217,32044098628217.zip,True,True,>f.st......
hvd.32044098628274,32044098628274.mets.xml,True,True,>f.st......
hvd.32044098628274,32044098628274.zip,True,True,>f.st......
hvd.32044098628373,32044098628373.mets.xml,True,True,>f.st......
hvd.32044098628373,32044098628373.zip,True,True,>f.st......
hvd.32044098628381,32044098628381.mets.xml,True,True,>f.st......
hvd.32044098628381,32044098628381.zip,True,True,>f.st......
hvd.32044098641343,32044098641343.mets.xml,True,True,>f.st......
hvd.32044098641343,32044098641343.zip,True,True,>f.st......
hvd.32044098641632,32044098641632.mets.xml,True,True,>f.st......
hvd.32044098641632,32044098641632.zip,True,True,>f.st......
hvd.32044098641640,32044098641640.mets.xml,True,True,>f.st......
hvd.32044098641640,32044098641640.zip,True,True,>f.st......
hvd.32044098644966,32044098644966.mets.xml,True,True,>f.st......
hvd.32044098644966,32044098644966.zip,True,True,>f.st......
hvd.32044098644982,32044098644982.mets.xml,True,True,>f.st......
hvd.32044098644982,32044098644982.zip,True,True,>f.st......
hvd.32044100036904,32044100036904.mets.xml,True,True,>f.st......
hvd.32044100036904,32044100036904.zip,True,True,>f.st......
hvd.32044100038637,32044100038637.mets.xml,True,True,>f.st......
hvd.32044100038637,32044100038637.zip,True,True,>f.st......
hvd.32044100864123,32044100864123.mets.xml,True,True,>f.st......
hvd.32044100864123,32044100864123.zip,True,True,>f.st......
